图书名,价格,出版社,出版年,国家,作者
命运,59.8,浙江文艺出版社,2022,中国,蔡崇达
你好，旧时光（上 下）,39.8,新世界出版社,2009,中国,八月长安
时间的秩序,56.0,湖南科学技术出版社,2019,意,卡洛·罗韦利
二手时间,55.0,中信出版社,2016,白俄,S. A. 阿列克谢耶维奇
大明王朝1566,88.0,花城出版社,2016,中国,刘和平
会饮篇,12.0,商务印书馆,2013,古希腊,柏拉图
上学记,19.8,生活·读书·新知三联书店,2006,中国,何兆武 口述
认识电影：插图第11版,68.0,世界图书出版公司,2007,美,路易斯·贾内梯
坟,16.0,人民文学出版社,2006,中国,鲁迅
黑箱：日本之耻,48.0,中信出版集团,2019,日,伊藤诗织
奥斯维辛：一部历史,79.0,广西师范大学出版社,2016,英,劳伦斯·里斯
明亮的夜晚,52,台海出版社,2023,韩,崔恩荣
顾城的诗,20.0,人民文学出版社,1998,中国,顾城
众病之王：癌症传,42.0,中信出版社,2013,美,悉达多·穆克吉
毛姆短篇小说精选集,36.0,译林出版社,2012,英,威廉·萨默塞特·毛姆
枪炮、病菌与钢铁：人类社会的命运,45.0,上海译文出版社,2006,美,贾雷德·戴蒙德
火星救援,38.0,译林出版社,2015,美,安迪·威尔
规训与惩罚：监狱的诞生,21.8,生活·读书·新知三联书店,2003,法,米歇尔·福柯
分成两半的子爵,20.0,译林出版社,2012,意,伊塔洛·卡尔维诺
金锁记,13.5,哈尔滨出版社,2005,中国,张爱玲
挽救计划,68.0,译林出版社,2021,美,安迪·威尔
解忧杂货店,39.5,南海出版公司,2014,日,东野圭吾
总统是靠不住的：近距离看美国之二,21.8,生活·读书·新知三联书店,2004,中国,林达
哈姆莱特,7.0,人民文学出版社,2001,英,莎士比亚
